EGY,ENG
‫لحق؟‬,Already?
‫معلش يا جماعة أخرتكم.‬,Sorry to keep you waiting.
‫لا، ولا يهمك.‬,No problem.
‫بس الsystem down.‬,The system was down.
‫طيب. خلاص إحنا كدا قفلنا الjoint account ‫زودنا عنوان هشام الجديد على النظام،‬‫ وعملنا حساب لـعلا ‬‫هيتحط فيه فلوس مصاريف الولاد كل شهر.‬,"Well, we closed your joint account. We added Hisham's new address. We created an account for Ola for the child support expenses."
‫كل ده والsystem down؟‬,All that with the system down?
‫لا إنتي بتصنعي المعجزات يا سها طول عمرك.‬,"You've always worked miracles, Soha."
‫لا خالص. إحنا بس اتعودنا.‬,"No, we got used to it."
‫من كتر حالات الطلاق ومشاكل النفقة.‬ ‫بس إنتوا بصراحة كنتوا متحضرين جدًا.‬,"You're not the first to divorce, but you were more civilized."
‫أنا بس عشان عارف إن علا مش بتشتغل‬ ‫وكانت مدية كل وقتها للولاد. ,I know Ola doesn't work. She dedicated her life to the kids.
‫أنا كمان أنا عرضت عليها مصروف شخصي شهري.‬,I also offered her a monthly allowance.
‫لو هي تحب يعني أنا ممكن أعمل كدا‬، معنديش أي مشكلة خالص.‬,"If she wants it, I don't have a problem."
‫وأنا قولتلك إن أنا مش هاخد مصروف‬ ‫عشان آخد بالي من ولادي,I told you I won't be paid to care for my children.
‫أنا هاخد مصروف الولاد وبس.‬,I'll only take the children's support.
‫يعني هتصرفي على نفسك منين؟‬,How will you make do?
‫هشتغل.‬,I'll work.
هتشتغلي إيه يا علا؟‬,Doing what?
‫ده fresh graduates مش لاقيين.‬,New grads can't find work.
‫مش أنا قولتلك؟‬ ‫أنا قولتلك من الأول متسبيش شغلك.,Didn't I tell you not to quit your job?
‫هو مش ابن خالتي؟ بس مفيش راجل يستاهل.‬,"I know he's my cousin, but no man's worth it."
‫إنتي صح. ,You're right.
إنتي صح.‬,
‫نمضي فين بقى عشان أنا لازم أمشي؟‬,Where do I sign? I have to go.
‫هشوفكوا بليل عند رنا وشريف؟‬,Will I see you guys at Rana's?
سوري آسفة يا جماعة. معلش.‬,"I'm sorry, guys."
‫لسه مش متعودة عليكوا وإنتوا متطلقين معلش.‬,I'm still not used to you being divorced.
‫مش لوحدك.‬,Neither am I.
‫رنا فيها الخير عزمتني بس مش هقدر آجي.‬,"Rana did invite me, but I can't make it."
‫يا علا!‬,Ola!
‫إيه؟‬,Yes?
‫اوعوا تفتكروا إن هو بيجري ورايا‬ ‫عشان ندمان وعايز يرجع والكلام ده.‬,Don't go thinking he feels terrible and is coming back.
‫متبقوش عبط زيي.‬,Don't be silly like me.
‫أيوة.‬,Yes?
‫نادية مبتردش عليا في التليفون.‬,Nadia doesn't answer my calls.
‫هي كويسة؟‬,Is she okay?
‫كويسة أه. ,Yes.
لسه بتستوعب.‬,She's still digesting it.
‫طب وإنتي كويسة؟‬,What about you?
‫لسه بستوعب بردو.‬,"Also, digesting it."
‫إنتي بجد هتشتغلي؟‬,Do you really want to work?
‫أه، بجد هشتغل. ,"Yes, really."
ليه في مانع؟‬,Any problem with that?
‫الولاد كبروا خلاص،‬ ‫وأنا كمان كنت زهقانة زيي زيك.‬,"The kids have grown, and I was as bored as you were."
‫مشتغلش ليه؟,Why wouldn't I?
ولا هو حلال عليك وحرام عليا؟‬,"You're allowed to work, but I'm not?"
‫لا أنا مقولتش كدا.‬,I didn't say that.
‫بس إنتي دايمًا كنتي بتحبي تعملي كل حاجة ‫بإيدك في البيت للولاد وكدا. ,You always wanted to stay home for the kids.
‫دلوقتي أكيد هتبقي محتاجة حد يساعدك.‬‬,"Surely, you'll need help now."
‫تحبي أشوفلك حد يساعدك؟‬,Should I get you a maid?
‫أنت مش فاهم حاجة.‬,You don't get it.
‫أنا اشتكيتلك؟ ,Have I ever complained?
أنا عمري اشتكيتلك؟‬,
‫حلو الlook ده.‬,I like the new look.
‫متشكر.‬,Thanks 
أشوفك بكرة الساعة 10‬ ‫عند شريف أول جلسه لـسليم‫.,"Well, I'll see you tomorrow at 10 for Salim's first session."
‫10 بالمللي.‬,At 10 sharp.
‫حاضر.‬,Okay.
‫متنساش!‬,Don't forget.
‫ومتتأخرش.‬,And don't be late.
‫ماشي.‬,Fine.
‫ولا أقولك؟ ,You know what? 
أنا جاية النهاردة بليل.‬,I'll come tonight.
‫محتاجة خطة.‬,I need a plan.
‫خير في حاجة؟‬,Is something wrong?
هاي، حبايبي. ,"Hi, darlings. "
وحشتوني.‬,I've missed you.
‫يومكوا كان حلو؟‬,Have you had a good day?
‫إيه يا سليم، بتدور على إيه يا حبيبي؟‬,"What are you looking for, Salim?"
‫لا. سليم سليم.‬,Wait.
‫إحنا اتفقنا إننا هنقلل البتاعة دي.‬,We agreed to cut down on this.
‫عشان خاطري.‬,Please
‫عشان خاطري، الجيم ده بس.‬,Just this game.
‫حاضر.‬,Okay.
‫مامي؟‬,Mom?
‫هو إنتي قابلتي بابي النهاردة؟‬,Did you see Dad today?
اه، ‫قابلت بابي النهاردة وكله كان حلو أوي ‬‫ومشي smooth أوي‬. ‫واتفقنا على كل حاجة.‬,"Yes. I saw your dad today, and everything went well. Everything went smoothly, and there were no issues."
‫وبيبوسك وبيقولك كلميني بقى.‬,He sends you his love and says to call him.
‫أنا مبسألكيش عن أخباره.‬,I'm not asking about him.
‫أنا بس عايزة أعرف إنتي كويسة ولا لأ؟‬,I just want to know if you're okay.
‫أنا كويسة جدًا. ,I'm more than fine.
أنا كويسة.‬,
‫وبعدين أنا مامتك مش إنتي وبقولك أنا كويسة.‬,"I'm the mother here, and I'm absolutely fine."
‫لا مش بكدب. ,I'm not lying.
أنا بس بستبق الأحداث شوية‫.,I'm just being a little proactive here.
‫ما أنا هبقى كويسة أكيد.‬,I'll be fine for sure.
‫طيب على فكرة، أنا غالبًا هشتركلكوا‬ ‫في الباص، ها؟‬,"By the way, you'll start taking the school but."
‫عشان أنا هشتغل قريب،‬ ‫مش هعرف أوصلكوا كل يوم وآجي آخدكوا.‬,"I'll be working soon, and I can't drop you at school."
‫تشتغلي؟‬,Work?
‫تشتغلي إيه؟‬,What kind of work?
‫مش عارفة.‬,I don't know.
‫إيه قلة المزاج دي.‬,How come? 
‫طب وأنا هروح معاكوا إزاي يعني؟‬,How can I travel with you guys?
‫زينة حبيبتي هو أنا كنت خلفتك ونسيتك؟ ‬,"Zeina, I don't remember giving birth to you."
‫ما تسألي أبوكي. معرفش. خليه يشتركلك‬ ‫في الباص إنتي كمان.‬,Ask your dad to send you on the bus as well.
‫وطبعًا لما تشتغلي،‬ ‫تيتة هتيجي تقعد في أوضتي.‬,"When you find a job, Grandma will stay in my room."
‫والمطلوب مني إني أتعود بقى‬ ‫على صوت التليفزيون العالي‬ ‫وريحة السمنة اللي هي بتطبخ بيها.‬,I'm supposed to tolerate her loud TV and the smell of her cooking.
‫مامي، بجد مينفعش كدا.‬,"Mom, this is not good."
‫خلاص بقى.‬,Enough.
‫مش أنا قولتلك.‬,Didn't I tell you?
‫مامتي تموت، مامتك تتطلق،‬ ‫النتيجة واحدة، هنتمرمط.‬,"My mom died, and yours got divorced. In the end, we'll be miserable."
‫سمعتك يا زينة.‬,"I heard you, Zeina."
‫ده شكرية بتعمله‬ ‫بطريقة تانية خالص.‬,Shukreyya does it differently.
‫المهم بقى نقعد نتفرج على البرامج دي‬ ‫وفي الآخر بردو هنعمل كفتة ومكرونة.‬,"We keep watching these programs, and in the end, we cook meatballs."
‫وهنا عندنا الدقيق اللي هيتخن الشوربة،‬ ‫بحب دايمًا أحمص الدقيق مع الزبدة,The flour thickens the stew. I toast the flour with butter.
‫زينة.‬,Zeina.
‫حبيبتي هو محدش قالك‬ ‫إنك ميصحش تفتحي التلاجة في بيت حد؟‬,You should know you're not allowed to open someone else's fridge.
‫لا يا تيتة سهير، محدش قالي.‬,"No, Grandma. I don't know."
‫مامي الله يرحمها ملحقتش تربيني.‬,My late mother couldn't educate me.
‫لحمة؟,Meat?
‫إيه يا روحي بتقولي إيه؟‬,What did you say?
‫بقول منورانا يا تيتة.‬,We're happy to have you.
ميرسي يا قلبي.‬ ,Thank you.
‫اتعودي بقى على نوري ‬‫عشان أنا قاعدة شوية على قلبكوا.‬,Get used to me. I'll be here for a while.
‫والله ما فهماكي إنتي بالذات.‬,It's you I don't get.
‫ بقولك يا علا.‬,"Look, Ola!"
‫قابلتي هشام؟ ,Did you see Hisham?
شكله عامل إزاي؟‬,How is he?
‫أكيد طبعًا هفتان ومتبهدل.‬,I'm sure he looked awful.
‫لا مش هفتان خالص.‬,Not at all. 
‫ده رادد ومحلو وشكله أصغر.‬,He looks younger and more handsome.
‫ يا نهار أسود! بتتكلمي جد؟‬,Oh God! Are you serious?
‫أقطع دراعي إن ما كان في واحدة تانية.‬,"Surely, he's with someone else."
‫قلبي عليكي يا بنتي.‬,I feel for you.
‫هيتجوز؟ ,Remarry? 
بعد العمر ده كله معاكي؟,After all these years?
‫ده إنتي أم عياله.‬,You're the mother of his children.
‫وكمان هيجيب للعيال مرات أب‬ ‫تتحكم فيهم وتبهدلهم.‬,And he'll have the kids deal with a nasty stepmother.
‫يا عيني.‬,"Oh, babies."
‫أنا بس عايزة أعرف كل ده كان ليه؟‬,I just want to know why.
‫أنا مش فارقلي أعرف خلاص بقي يا ماما.‬ ‫خلاص، أنا بجد مش فارقلي ليه.‬,"I don't want to know, and I don't care."
‫وبعدين هو الصراحة كان متحضر ومحترم‬ ‫وهيتكلف بمصاريف العيال كلهم.‬ ‫حتى الextras.‬,"Honestly, he was decent, and he'll cover the kids' expenses, even the extras."
‫طب وإحنا؟‬,What about us?
‫إحنا إيه؟‬,What about us?
‫إحنا إيه؟‬,What?
‫مين اللي هيصرف علينا؟‬,Who'll cover our expenses?
‫علينا؟‬,Us?
اه,Yes.
‫إنتي عندك معاشك يا ماما ‫وحازم بيبعتلك فلوس كل شهر من دبي.‬,"You have your pension, and Hazem sends you monthly money from Dubai."
‫أنا بقى أنا هصرف على نفسي.‬,"As for me, I'll get a job."
‫أنا عندي خطة. ,I have a plan.
هشتغل.‬,
‫وبعدين بقى.‬,Here we go.
‫وبعدين إنتي لما تشتغلي،‬ ‫ما إنتي هتحتاجيني قاعدة معاكي على طول‬ ‫عشان أراعي البيت وعيالك.‬,"If you work, you'll need me here to take care of the house and the kids."
‫قوليلها لا.‬,
‫أنا مش متأكدة يا ماما‬ ‫إذا كانت فكرة حلوة‬ ‫إن إنتي تقعدي معانا على طول.‬,"Mom, I'm unsure if staying with us is a good idea."
‫منورانا يا ماما. ,We're happy to have you.
منورانا طبعًا.‬,
‫أنا هاخد بالي من العيال إزاي‬ ‫لو إنتي مش معايا؟,How could I manage if I didn't have you? 
وهشتغل وكدا طبعًا.‬,Especially if I'm working.
