en_clean,ar_clean
already,لحق؟
sorry to keep you waiting,معلش يا جماعة اخرتكم
no problem,لا، ولا يهمك
the system was down,بس ال
well we closed your joint account we added hishams new address we created an account for ola for the child support expenses,طيب خلاص احنا كدا قفلنا ال زودنا عنوان هشام الجديد علي النظام، وعملنا حساب لـعلا هيتحط فيه فلوس مصاريف الولاد كل شهر
all that with the system down,كل ده وال ؟
youve always worked miracles soha,لا انتي بتصنعي المعجزات يا سها طول عمرك
no we got used to it,لا خالص احنا بس اتعودنا
youre not the first to divorce but you were more civilized,من كتر حالات الطلاق ومشاكل النفقة بس انتوا بصراحة كنتوا متحضرين جدا
i know ola doesnt work she dedicated her life to the kids,انا بس عشان عارف ان علا مش بتشتغل وكانت مدية كل وقتها للولاد
i also offered her a monthly allowance,انا كمان انا عرضت عليها مصروف شخصي شهري
if she wants it i dont have a problem,لو هي تحب يعني انا ممكن اعمل كدا، معنديش اي مشكلة خالص
i told you i wont be paid to care for my children,وانا قولتلك ان انا مش هاخد مصروف عشان اخد بالي من ولادي
ill only take the childrens support,انا هاخد مصروف الولاد وبس
how will you make do,يعني هتصرفي علي نفسك منين؟
ill work,هشتغل
doing what,هتشتغلي ايه يا علا؟
new grads cant find work,ده مش لاقيين
didnt i tell you not to quit your job,مش انا قولتلك؟ انا قولتلك من الاول متسبيش شغلك
i know hes my cousin but no mans worth it,هو مش ابن خالتي؟ بس مفيش راجل يستاهل
youre right,انتي صح
where do i sign i have to go,نمضي فين بقي عشان انا لازم امشي؟
will i see you guys at ranas,هشوفكوا بليل عند رنا وشريف؟
im sorry guys,سوري اسفة يا جماعة معلش
im still not used to you being divorced,لسه مش متعودة عليكوا وانتوا متطلقين معلش
neither am i,مش لوحدك
rana did invite me but i cant make it,رنا فيها الخير عزمتني بس مش هقدر اجي
ola,يا علا
yes,ايه؟
dont go thinking he feels terrible and is coming back,اوعوا تفتكروا ان هو بيجري ورايا عشان ندمان وعايز يرجع والكلام ده
dont be silly like me,متبقوش عبط زيي
yes,ايوة
nadia doesnt answer my calls,نادية مبتردش عليا في التليفون
is she okay,هي كويسة؟
yes,كويسة اه
shes still digesting it,لسه بتستوعب
what about you,طب وانتي كويسة؟
also digesting it,لسه بستوعب بردو
do you really want to work,انتي بجد هتشتغلي؟
yes really,اه، بجد هشتغل
any problem with that,ليه في مانع؟
the kids have grown and i was as bored as you were,الولاد كبروا خلاص، وانا كمان كنت زهقانة زيي زيك
why wouldnt i,مشتغلش ليه؟
youre allowed to work but im not,ولا هو حلال عليك وحرام عليا؟
i didnt say that,لا انا مقولتش كدا
